-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-900	10005	1	1	06.06.2018	13:30	2	7	7	13,33	14,26	0,93	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	8	8	14,76	15,30	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	9	9	15,30	16,75	1,45	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	10	10	17,80	24,75	6,95	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	11	11	27,15	28,96	1,81	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	12	12	29,51	34,68	5,17	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	13	13	34,68	37,03	2,35	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	14	14	37,05	37,76	0,71	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	15	15	38,41	39,20	0,79	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	16	16	39,20	40,09	0,89	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	17	17	40,83	41,61	0,78	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	18	18	42,17	47,31	5,14	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	19	19	47,72	49,01	1,29	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	20	20	49,47	50,22	0,75	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	21	21	50,58	51,39	0,81	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	22	22	53,14	54,18	1,04	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	23	23	54,86	56,17	1,31	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	24	24	56,76	57,38	0,62	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	25	25	57,56	58,35	0,79	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	26	26	58,82	59,84	1,02	1	1	Habituation	Habituation
