-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-900	10005	1	1	05.08.2018	14:38	4	11	11	40,00	40,90	0,90	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	12	12	42,27	43,03	0,76	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	13	13	44,24	45,57	1,33	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	14	14	45,57	46,51	0,94	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	15	15	55,70	56,41	0,71	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	16	16	66,98	67,59	0,61	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	17	17	70,37	70,90	0,53	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	18	18	76,05	76,94	0,89	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	19	19	82,58	83,22	0,64	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	20	20	85,67	86,22	0,55	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	21	21	89,60	90,19	0,59	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	22	22	96,40	97,09	0,69	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	23	23	108,48	109,57	1,09	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	24	24	110,79	112,07	1,28	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	25	25	115,46	116,01	0,55	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	26	26	119,66	120,46	0,80	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	27	27	120,99	121,56	0,57	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	28	28	121,98	122,52	0,54	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	29	29	122,52	123,14	0,62	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	30	30	133,21	133,89	0,68	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	31	31	134,31	135,10	0,79	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	32	32	135,68	136,83	1,15	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	33	33	137,08	137,60	0,52	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	34	34	140,20	141,30	1,10	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	35	35	143,11	143,65	0,54	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	36	36	146,63	147,18	0,55	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	37	37	155,09	155,64	0,55	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	38	38	157,11	157,91	0,80	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	39	39	165,84	167,30	1,46	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	40	40	173,56	174,84	1,28	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	41	41	175,69	176,34	0,65	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	1	1	0,00	33,15	33,15	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	2	2	33,17	62,97	29,80	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	3	3	62,97	63,61	0,64	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	4	4	63,93	64,58	0,65	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	5	5	65,10	65,88	0,78	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	6	6	67,77	68,55	0,78	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	7	7	68,98	69,53	0,55	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	8	8	69,74	70,27	0,53	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	9	9	81,04	81,57	0,53	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	10	10	81,59	82,19	0,60	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	11	11	82,47	83,04	0,57	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	12	12	84,49	85,65	1,16	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	13	13	86,44	86,96	0,52	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	14	14	86,96	87,77	0,81	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	15	15	91,51	92,04	0,53	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	16	16	93,05	93,65	0,60	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	17	17	93,71	95,18	1,47	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	18	18	100,47	101,34	0,87	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	19	19	101,68	102,19	0,51	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	20	20	103,61	105,49	1,88	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	21	21	109,85	110,36	0,51	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	22	22	117,16	118,85	1,69	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	23	23	124,24	125,71	1,47	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	24	24	126,27	127,87	1,60	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	25	25	128,89	129,66	0,77	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	26	26	129,82	131,20	1,38	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	27	27	131,50	132,23	0,73	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	28	28	133,04	134,34	1,30	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	29	29	136,51	137,19	0,68	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	30	30	137,19	137,70	0,51	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	31	31	143,12	143,87	0,75	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	32	32	145,39	146,33	0,94	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	33	33	147,85	148,99	1,14	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	34	34	159,87	161,05	1,18	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	35	35	165,15	166,55	1,40	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	36	36	166,88	167,93	1,05	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	37	37	171,01	171,52	0,51	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	38	38	172,45	172,98	0,53	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	39	39	174,00	175,39	1,39	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	40	40	176,08	177,19	1,11	1	1	Habituation	Habituation
-900	10005	1	1	05.09.2018	11:11	5	41	41	177,83	179,64	1,81	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:43	1	1	1	0,00	110,89	110,89	1	1	Habituation	Habituation
