-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-900	10005	1	1	06.07.2018	14:11	2	67	67	172,13	173,94	1,81	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	68	68	176,04	177,00	0,96	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	69	69	177,41	178,06	0,65	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	70	70	178,08	179,16	1,08	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	71	71	179,43	180,00	0,57	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	1	1	0,34	1,23	0,89	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	2	2	2,03	2,60	0,57	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	3	3	11,65	12,29	0,64	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	4	4	14,14	14,94	0,80	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	5	5	18,63	19,20	0,57	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	6	6	19,43	22,62	3,19	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	7	7	23,13	23,74	0,61	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	8	8	23,75	24,66	0,91	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	9	9	27,36	28,63	1,27	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	10	10	30,40	31,36	0,96	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	11	11	32,25	33,03	0,78	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	12	12	34,67	35,63	0,96	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	13	13	35,63	36,18	0,55	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	14	14	39,49	40,25	0,76	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	15	15	42,86	47,13	4,27	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	16	16	52,84	53,96	1,12	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	17	17	53,98	54,99	1,01	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	18	18	55,06	56,18	1,12	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	19	19	57,62	58,88	1,26	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	20	20	61,34	62,12	0,78	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	21	21	62,78	63,41	0,63	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	22	22	63,41	70,01	6,60	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	23	23	70,30	71,50	1,20	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	24	24	71,50	73,82	2,32	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	25	25	73,82	75,13	1,31	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	26	26	75,58	76,31	0,73	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	27	27	79,90	82,42	2,52	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	28	28	82,74	83,45	0,71	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	29	29	83,45	84,04	0,59	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	30	30	84,34	92,64	8,30	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	31	31	92,68	99,79	7,11	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	32	32	100,04	102,53	2,49	1	1	Habituation	Habituation
