"seconds","M_10005","average","SE"
-1.08,-5.36686656537001,-5.36686656537001,NA
-1.07,-5.36951366030879,-5.36951366030879,NA
-1.06,-5.37498731658442,-5.37498731658442,NA
-1.05,-5.38324322742225,-5.38324322742225,NA
-1.04,-5.39421110124076,-5.39421110124076,NA
-1.03,-5.40779504063928,-5.40779504063928,NA
-1.02,-5.42387420893638,-5.42387420893638,NA
-1.01,-5.4423037793521,-5.4423037793521,NA
-1,-5.46291616012662,-5.46291616012662,NA
-0.99,-5.4855224881173,-5.4855224881173,NA
-0.98,-5.50991437921152,-5.50991437921152,NA
-0.97,-5.53586591795348,-5.53586591795348,NA
-0.96,-5.56313586504315,-5.56313586504315,NA
-0.95,-5.5914700593832,-5.5914700593832,NA
-0.94,-5.62060399007332,-5.62060399007332,NA
-0.93,-5.65026551068972,-5.65026551068972,NA
-0.92,-5.68017766318779,-5.68017766318779,NA
-0.91,-5.71006157735784,-5.71006157735784,NA
-0.9,-5.73963941029179,-5.73963941029179,NA
-0.89,-5.7686372883616,-5.7686372883616,NA
-0.88,-5.7967882127815,-5.7967882127815,NA
-0.87,-5.82383489101323,-5.82383489101323,NA
-0.86,-5.84953245905316,-5.84953245905316,NA
-0.85,-5.87365105896011,-5.87365105896011,NA
-0.84,-5.89597823543471,-5.89597823543471,NA
-0.83,-5.91632111570307,-5.91632111570307,NA
-0.82,-5.93450833984758,-5.93450833984758,NA
-0.81,-5.95039171356496,-5.95039171356496,NA
-0.8,-5.96384755991194,-5.96384755991194,NA
-0.79,-5.97477775111734,-5.97477775111734,NA
-0.78,-5.98311040566875,-5.98311040566875,NA
-0.77,-5.98880023707806,-5.98880023707806,NA
-0.76,-5.99182854315217,-5.99182854315217,NA
-0.75,-5.99220283015314,-5.99220283015314,NA
-0.74,-5.98995607386066,-5.98995607386066,NA
-0.73,-5.98514562753962,-5.98514562753962,NA
-0.72,-5.97785179173164,-5.97785179173164,NA
-0.71,-5.9681760625563,-5.9681760625563,NA
-0.7,-5.95623907784683,-5.95623907784683,NA
-0.69,-5.94217828696925,-5.94217828696925,NA
-0.68,-5.9261453768642,-5.9261453768642,NA
-0.67,-5.90830348997776,-5.90830348997776,NA
-0.66,-5.88882427230214,-5.88882427230214,NA
-0.65,-5.86788479248738,-5.86788479248738,NA
-0.64,-5.84566437652214,-5.84566437652214,NA
-0.63,-5.82234140481355,-5.82234140481355,NA
-0.62,-5.79809011895422,-5.79809011895422,NA
-0.61,-5.77307748518702,-5.77307748518702,NA
-0.6,-5.74746015928665,-5.74746015928665,NA
-0.59,-5.72138159718973,-5.72138159718973,NA
-0.58,-5.69496935732231,-5.69496935732231,NA
-0.57,-5.66833264007931,-5.66833264007931,NA
-0.56,-5.64156010533008,-5.64156010533008,NA
-0.55,-5.61471800330288,-5.61471800330288,NA
-0.54,-5.58784864883757,-5.58784864883757,NA
-0.53,-5.56096926388947,-5.56096926388947,NA
-0.52,-5.53407121220545,-5.53407121220545,NA
-0.51,-5.50711964637873,-5.50711964637873,NA
-0.5,-5.4800535778595,-5.4800535778595,NA
-0.49,-5.45278637341906,-5.45278637341906,NA
-0.48,-5.42520667573702,-5.42520667573702,NA
-0.47,-5.39717974006157,-5.39717974006157,NA
-0.46,-5.36854917326747,-5.36854917326747,NA
-0.45,-5.33913905679077,-5.33913905679077,NA
-0.44,-5.3087564314014,-5.3087564314014,NA
-0.43,-5.27719411410396,-5.27719411410396,NA
-0.42,-5.2442338092957,-5.2442338092957,NA
-0.41,-5.20964947204713,-5.20964947204713,NA
-0.4,-5.1732108780632,-5.1732108780632,NA
-0.39,-5.13468735315123,-5.13468735315123,NA
-0.38,-5.09385161215857,-5.09385161215857,NA
-0.37,-5.05048365425501,-5.05048365425501,NA
-0.36,-5.0043746607741,-5.0043746607741,NA
-0.35,-4.95533084129982,-4.95533084129982,NA
-0.34,-4.90317717332855,-4.90317717332855,NA
-0.33,-4.8477609811758,-4.8477609811758,NA
-0.32,-4.78895530094402,-4.78895530094402,NA
-0.31,-4.72666198135431,-4.72666198135431,NA
-0.3,-4.66081447549121,-4.66081447549121,NA
-0.29,-4.59138028294502,-4.59138028294502,NA
-0.28,-4.51836300471107,-4.51836300471107,NA
-0.27,-4.44180397640425,-4.44180397640425,NA
-0.26,-4.36178345200846,-4.36178345200846,NA
-0.25,-4.27842131708868,-4.27842131708868,NA
-0.24,-4.19187731543332,-4.19187731543332,NA
-0.23,-4.10235077973965,-4.10235077973965,NA
-0.22,-4.01007986355069,-4.01007986355069,NA
-0.21,-3.91534027982298,-3.91534027982298,NA
-0.2,-3.81844355929755,-3.81844355929755,NA
-0.19,-3.71973484657529,-3.71973484657529,NA
-0.18,-3.61959025637318,-3.61959025637318,NA
-0.17,-3.51841381991042,-3.51841381991042,NA
-0.16,-3.41663405930895,-3.41663405930895,NA
-0.15,-3.31470023176414,-3.31470023176414,NA
-0.14,-3.21307828701352,-3.21307828701352,NA
-0.13,-3.1122465847911,-3.1122465847911,NA
-0.12,-3.01269142321262,-3.01269142321262,NA
