"seconds","M_10005","M_10006","average","SE"
-1.31,0.0235673650911352,-1.98414178401779,-0.980287209463327,1.00385457455446
-1.3,0.0129664449753236,-1.84279338195094,-0.914913468487808,0.927879913463132
-1.29,-0.00241791027608536,-1.71301410353256,-0.85771600690432,0.855298096628235
-1.28,-0.022314836521153,-1.59569701118425,-0.809005923852702,0.786691087331549
-1.27,-0.0463992519882509,-1.49163149702975,-0.769015374509001,0.72261612252075
-1.26,-0.074297634924142,-1.40149613551035,-0.737896885217245,0.663599250293103
-1.25,-0.105594389937297,-1.32585277416866,-0.715723582052976,0.610129192115679
-1.24,-0.139838700481549,-1.26514193066386,-0.702490315572703,0.562651615091154
-1.23,-0.176551758643136,-1.21967954598182,-0.69811565231248,0.521563893669344
-1.22,-0.21523426024705,-1.18965512835942,-0.702444694303234,0.487210434056184
-1.21,-0.255374051065882,-1.17513130431093,-0.715252677688406,0.459878626622524
-1.2,-0.296453808872271,-1.17604477368645,-0.73624929127936,0.43979548240709
-1.19,-0.337958645477853,-1.19220864540085,-0.765083645439352,0.427124999961499
-1.18,-0.379383515094927,-1.22331611069981,-0.801349812897369,0.421966297802442
-1.17,-0.420240321565611,-1.26894539287235,-0.844592857218982,0.42435253565337
-1.16,-0.460064624676903,-1.32856589515935,-0.894315259918125,0.434250635241222
-1.15,-0.498421854660627,-1.40154545042151,-0.949983652541067,0.45156179788044
-1.14,-0.534912955385591,-1.48715856013469,-1.01103575776014,0.476122802374548
-1.13,-0.569179385661427,-1.58459549746225,-1.07688744156184,0.507708055900412
-1.12,-0.600907413003471,-1.69297214090457,-1.14693977695402,0.546032363950551
-1.11,-0.629831644948345,-1.8113403981878,-1.22058602156807,0.590754376619727
-1.1,-0.655737758841355,-1.93869907265868,-1.29721841575002,0.641480656908663
-1.09,-0.678464407234824,-2.07400502106748,-1.37623471415115,0.69777030691633
-1.08,-0.697904289930259,-2.21618444943294,-1.4570443696816,0.759140079751338
-1.07,-0.714004394022193,-2.36414419608219,-1.53907429505219,0.825069901029998
-1.06,-0.726765414738581,-2.51678285322241,-1.62177413398049,0.895008719241914
-1.05,-0.736240381024674,-2.67300158042321,-1.70462098072394,0.968380599699269
-1.04,-0.74253252251227,-2.83171447111229,-1.78712349681228,1.04459097430001
-1.03,-0.745792429285562,-2.99185834620534,-1.86882538774545,1.12303295845989
-1.02,-0.746214564905077,-3.15240186446989,-1.94930821468749,1.20309364978241
-1.01,-0.744033199802243,-3.31235385290005,-2.02819352635115,1.2841603265489
-1,-0.739517837668145,-3.47077077318032,-2.10514430542423,1.36562646775609
-0.99,-0.732968212067301,-3.62676325365646,-2.17986573286188,1.44689752079458
-0.98,-0.7247089370016,-3.77950163252284,-2.25210528476222,1.52739634776062
-0.97,-0.7150839028007,-3.92822047493053,-2.32165218886561,1.60656828606491
-0.96,-0.70445051092104,-4.07222204718292,-2.38833627905198,1.68388576813094
-0.95,-0.69317384061051,-4.2108787505016,-2.45202629555606,1.75885245494555
-0.94,-0.681620838076476,-4.34363453231029,-2.51262768519338,1.83100684711691
-0.93,-0.670154617070122,-4.47000530643952,-2.57007996175482,1.8999253446847
-0.92,-0.659128953874555,-4.58957842610083,-2.6243536899877,1.96522473611314
-0.91,-0.64888305430388,-4.70201127029406,-2.67544716229897,2.02656410799509
-0.9,-0.639736665992681,-4.80702901868485,-2.72338284233876,2.08364617634608
-0.89,-0.631985603374237,-4.90442170087814,-2.76820365212619,2.13621804875195
-0.88,-0.625897746057719,-4.9940406154722,-2.80996918076496,2.18407143470724
-0.87,-0.621709558704587,-5.07579422059087,-2.84875188964773,2.22704233094314
-0.86,-0.61962316941417,-5.14964359987231,-2.88463338464324,2.26501021522907
-0.85,-0.619804035697665,-5.21559760866835,-2.91770082218301,2.29789678648534
-0.84,-0.622379217286775,-5.27370780902634,-2.94804351315656,2.32566429586978
-0.83,-0.627436267734064,-5.32406330283945,-2.97574978528676,2.34831351755269
-0.82,-0.635022750231233,-5.36678556812823,-3.00090415917973,2.3658814089485
-0.81,-0.645146368630904,-5.40202339794679,-3.02358488328884,2.37843851465794
-0.8,-0.657775692685278,-5.42994803441041,-3.04386186354784,2.38608617086257
-0.79,-0.67284144974058,-5.45074857971517,-3.06179501472787,2.38895356498729
-0.78,-0.69023834633313,-5.46462775314989,-3.07743304974151,2.38719470340838
-0.77,-0.709827375882464,-5.47179805812879,-3.09081271700563,2.38098534112317
-0.76,-0.73143856443383,-5.47247841267287,-3.10195848855335,2.37051992411952
-0.75,-0.754874098142198,-5.46689128142758,-3.11088268978489,2.35600859164269
-0.74,-0.779911770920846,-5.45526033161692,-3.11758605126888,2.33767428034804
-0.73,-0.806308691756228,-5.43780862321055,-3.12205865748339,2.31574996572716
-0.72,-0.833805190268384,-5.41475733464729,-3.12428126245784,2.29047607218946
-0.71,-0.862128854692256,-5.38632501146625,-3.12422693307925,2.26209807838699
-0.7,-0.890998634095208,-5.3527273113601,-3.12186297272766,2.23086433863245
-0.69,-0.920128938901572,-5.31417720898555,-3.11715307394356,2.19702413504199
-0.68,-0.949233677635424,-5.27088561450299,-3.11005964606921,2.16082596843379
-0.67,-0.978030171431153,-5.22306234997955,-3.10054626070535,2.1225160892742
-0.66,-1.00624289198553,-5.17091742225687,-3.0885801571212,2.08233726513567
-0.65,-1.03360697176745,-5.11466252729148,-3.07413474952947,2.04052777776202
-0.64,-1.05987144011823,-5.05451271494066,-3.05719207752945,1.99732063741122
-0.63,-1.08480214542991,-4.99068814002119,-3.03774514272555,1.95294299729564
-0.62,-1.10818433136464,-4.92341582637614,-3.01580007887039,1.90761574750575
-0.61,-1.12982484384623,-4.85293137130227,-2.99137810757425,1.86155326372802
-0.6,-1.14955394967755,-4.77948052016339,-2.96451723492047,1.81496328524292
-0.59,-1.16722675284574,-4.70332054555821,-2.93527364920198,1.76804689635624
-0.58,-1.18272420243645,-4.62472137163838,-2.90372278703742,1.72099858460097
-0.57,-1.19595369435895,-4.54396639029032,-2.86996004232463,1.67400634796568
-0.56,-1.20684927529544,-4.46135292344361,-2.83410109936952,1.62725182407408
-0.55,-1.21537146300848,-4.37719229520183,-2.79628187910516,1.58091041609668
-0.54,-1.22150670288196,-4.29180948897342,-2.75665809592769,1.53515139304573
-0.53,-1.22526648757521,-4.20554237501107,-2.71540443129314,1.49013794371793
