"Time(s)","AIn-2 - Demodulated(Lock-In)","AOut-2","AIn-3","AIn-1 - Demodulated(Lock-In)","AOut-1"
117.93,1.39571900229508,1,4.77487596245902,0.868569287401639,1
117.94,1.39495603959016,1,4.77475088639344,0.867638722721311,1
117.95,1.39374280459016,1,4.77482092934426,0.868651837442623,1
117.96,1.39233445081967,1,4.77471336377049,0.869509857745902,1
117.97,1.39166654516393,1,4.77469710327869,0.868514253967213,1
117.98,1.39188918131148,1,4.7746983545082,0.866955808508197,1
117.99,1.39299485139344,1,4.77469835409836,0.867658734901639,1
118,1.39458581540984,1,4.77476964745902,0.8709357225,1
118.01,1.39565396237705,1,4.77472962377049,0.873960056672131,1
118.02,1.39582077826446,1,4.77486798223141,0.874032455942149,1
118.03,1.39517617393443,1,4.77464457213115,0.871516074532787,1
118.04,1.39451577360656,1,4.77475338770492,0.869702474508197,1
118.05,1.39407050311475,1,4.7746833454918,0.870500458401639,1
118.06,1.39352517245902,1,4.77488972090164,0.872201490336066,1
118.07,1.39320247704918,1,4.77462956295082,0.872123943295082,1
118.08,1.39285726786885,1,4.7747821554918,0.86992260802459,1
118.09,1.39223439008197,1,4.77466958688525,0.868249093106557,1
118.1,1.39116624229508,1,4.77452074655738,0.869227186270492,1
118.11,1.39016563647541,1,4.77464457196721,0.871543591311475,1
118.12,1.38987345528926,1,4.77457036338843,0.872261878231405,1
118.13,1.38984294040984,1,4.77494100180328,0.870570500959016,1
118.14,1.38980541860656,1,4.77462581,0.868671849606557,1
118.15,1.38977539877049,1,4.77482468155738,0.869119621139344,1
118.16,1.39063592147541,1,4.77471586532787,0.871185874270492,1
118.17,1.39269717114754,1,4.77486970926229,0.872319061655738,1
118.18,1.39464335090164,1,4.77473462672131,0.871210889418033,1
118.19,1.39555890516393,1,4.77445570713115,0.869619924467213,1
118.2,1.39507611262295,1,4.77499353344262,0.870157750672131,1
118.21,1.39405299286885,1,4.7744844745082,0.872824367909836,1
118.22,1.39314244122951,1,4.77500103844262,0.874988180516393,1
118.23,1.39226196834711,1,4.77450478694215,0.874569682652893,1
118.24,1.39162652147541,1,4.77490848245902,0.872336572221311,1
118.25,1.3911287204918,1,4.77468459614754,0.870970743745902,1
118.26,1.39125629696721,1,4.77473087401639,0.871651156606557,1
118.27,1.39190418918033,1,4.77483093540984,0.872474155672131,1
118.28,1.3926946692623,1,4.77468584672131,0.871661162614754,1
118.29,1.39375030918033,1,4.77493975147541,0.870085206516393,1
118.3,1.39483096491803,1,4.77446821491803,0.870152747532787,1
118.31,1.39580405401639,1,4.77487095959016,0.872404113139344,1
118.32,1.39610423655738,1,4.77463956868852,0.874405326811475,1
118.33,1.39566692561983,1,4.77462837429752,0.874042544661157,1
118.34,1.39483346483607,1,4.77489722557377,0.871703688393443,1
118.35,1.39419557959016,1,4.77477214934426,0.870335358196721,1
