"","seconds","X1","X2","X3","X4","X5","X6","X7","X8","X9","average","SE"
"38",-1.63,-6.31926045138624,-6.5219201748226,-4.57280412968347,-5.32160649181063,-5.71049196211717,-6.13902482712045,-5.43440135627176,-5.68076404006406,-7.14981842175994,-5.87223242833737,0.251979699663699
"39",-1.62,-6.32258194840278,-6.4754752603533,-4.57441854352149,-5.34318162096973,-5.73947677364998,-6.27875365788454,-5.39974133396185,-5.70027781112338,-7.2135609521639,-5.89416310022566,0.257160392531851
"40",-1.61,-6.31977806689468,-6.42945406108754,-4.57588538985476,-5.36433741962724,-5.76679772104492,-6.41220688163487,-5.36662476895637,-5.72685009631804,-7.27640955699093,-5.91537155137881,0.263093102428122
"41",-1.6,-6.31095860970302,-6.38433634343932,-4.577279143958,-5.38495914305608,-5.79232837761609,-6.53898544179673,-5.335312704019,-5.76035378953102,-7.33757178143882,-5.93578725939534,0.26955932851922
"42",-1.59,-6.29628493829726,-6.3405660807858,-4.57868067134824,-5.40491921073292,-5.81594371085455,-6.65872771569193,-5.30605703966039,-5.80058145857756,-7.396249946465,-5.95533453026818,0.276353290970753
"43",-1.58,-6.27596733541265,-6.29854625884438,-4.58017661800259,-5.42407976010816,-5.83751946433102,-6.77110983639295,-5.27909765607408,-5.84724682186565,-7.45165345488971,-5.97393302288013,0.283286682244167
"44",-1.57,-6.25026181910049,-6.25863433761705,-4.58185854989885,-5.44229548861022,-5.8569316610768,-6.87584600144943,-5.25465953127762,-5.89998712396892,-7.50301105010205,-5.99149839590016,0.290191116910633
"45",-1.56,-6.21946646075055,-6.22113842468673,-4.5838218420008,-5.45941674566695,-5.87405626538259,-6.97268879232072,-5.23294989485056,-5.95836638405906,-7.54958284002207,-6.00794307219334,0.296918952644312
"46",-1.55,-6.18391726670447,-6.18631420645887,-4.58616431808561,-5.47529282655795,-5.88876903241655,-7.06142952193944,-5.21415545239583,-6.02187948150279,-7.5906719003055,-6.02317711181856,0.303343070094456
"47",-1.54,-6.14398368974821,-6.15436267509776,-4.58898464905537,-5.48977541287934,-5.90094557001226,-7.1418986224037,-5.19843972032209,-6.08995703246773,-7.62563528180309,-6.0371091837544,0.309356056718558
"48",-1.53,-6.10006383933961,-6.12542867206818,-4.59238052841005,-5.50272210553224,-5.91046163236359,-7.21396607767792,-5.1859405120813,-6.16197100313094,-7.65389426234183,-6.04964762588285,0.31486909687043
"49",-1.52,-6.0525794570952,-6.09960025618755,-4.59644664844584,-5.5139999945105,-5.91719366015079,-7.27754189791067,-5.17676761554754,-6.23724099201439,-7.67494369448553,-6.06070157959422,0.319810753677623
"50",-1.51,-6.00197072296514,-6.07690890116861,-4.60127250406097,-5.52348920666106,-5.92101957665666,-7.33257662100195,-5.17100069917034,-6.31504111158336,-7.68836031091605,-6.07018218379824,0.324125742852577
"51",-1.5,-5.94869096297051,-6.05733051165405,-4.6069400596061,-5.53108637438922,-5.92181984375227,-7.37906182575273,-5.16868748934402,-6.3946073939946,-7.69380986489338,-6.07800381403965,0.327773741319043
"52",-1.49,-5.89320133191186,-6.04078723393145,-4.61352132228947,-5.5367079663682,-5.91947877575095,-7.417030639976,-5.16984226019535,-6.47514563963797,-7.69105300557322,-6.08408535284828,0.330728238738338
"53",-1.48,-5.8359655428357,-6.02715002561842,-4.62107587567662,-5.54029341492088,-5.91388610287703,-7.44655821971497,-5.1744446684958,-6.55583963158629,-7.6799498067201,-6.08835147649398,0.332975420394678
"54",-1.47,-5.77744471592293,-6.01624193823324,-4.62964842843739,-5.54180797689013,-5.90493876849194,-7.46776216925798,-5.18243896010414,-6.6358596348442,-7.66046288422267,-6.09073394182273,0.334513060766176
"55",-1.46,-5.71809241155734,-6.00784205969807,-4.63926643521202,-5.54124527144847,-5.89254293822893,-7.48080286764206,-5.19373356900659,-6.71437108664289,-7.63265906330046,-6.09117285585965,0.335349405096908
"56",-1.45,-5.6583499011014,-6.00169005361517,-4.64993784866892,-5.53862944055442,-5.87661618756202,-7.48588366410077,-5.20820113105809,-6.79054337732549,-7.59670957841161,-6.08961790915532,0.335502018367452
"57",-1.44,-5.59864172542771,-5.99749122441827,-4.66164906200681,-5.53401688131276,-5.85708982948063,-7.48325090393342,-5.22567893843916,-6.86355862896997,-7.55288880386314,-6.08602955531687,0.33499658599473
"58",-1.43,-5.53937159135777,-5.99492202902274,-4.67436309258216,-5.52749750415469,-5.8339113444968,-7.47319375071602,-5.24596985451887,-6.93262038620589,-7.50157153451103,-6.08038012084066,0.333865659277783
"59",-1.42,-5.48091865464641,-5.99363595438174,-4.68801805461696,-5.51919547589157,-5.8070468712752,-7.45604376497986,-5.2688436953111,-6.99696213352503,-7.44322885521684,-6.07265482887163,0.332147347733917
"60",-1.41,-5.42363422787266,-5.99326967511628,-4.70252597703945,-5.50926941603435,-5.77648370746956,-7.43217419884508,-5.29403907153387,-7.05585555193955,-7.37842266326599,-6.06285272101297,0.329883970606687
