"time_ext","dF_405","dF_465","freeze","freeze_cut"
155.56,-1.51423498722296,-1.87182526289172,0,0
155.57,-1.5068472600706,-1.8521307510246,0,0
155.58,-1.49799185565197,-1.83198867150375,0,0
155.59,-1.48773556750385,-1.81156548988116,0,0
155.6,-1.47615925797226,-1.79102074234695,0,0
155.61,-1.46335641863547,-1.77050479484977,0,0
155.62,-1.44943157969701,-1.7501567427844,0,0
155.63,-1.43449859090078,-1.73010246957658,0,0
155.64,-1.41867879634103,-1.71045288383129,0,0
155.65,-1.40209913274131,-1.69130235949879,0,0
155.66,-1.38489018669645,-1.67272740218983,0,0
155.67,-1.3671842418816,-1.65478555529767,0,0
155.68,-1.3491133414747,-1.63751455434038,0,0
155.69,-1.33080738809873,-1.62093174001072,0,0
155.7,-1.31239230658167,-1.60503373765502,0,0
155.71,-1.29398830043301,-1.58979640561542,0,0
155.72,-1.27570823332585,-1.57517504991008,0,0
155.73,-1.25765616060322,-1.56110490150877,0,0
155.74,-1.23992602637221,-1.54750185081311,0,0
155.75,-1.22260053906973,-1.53426342234375,0,0
155.76,-1.2057502394002,-1.52126997046944,0,0
155.77,-1.18943277440407,-1.50838608434215,0,0
155.78,-1.17369238736005,-1.49546218527514,0,0
155.79,-1.15855962750274,-1.48233629365529,0,0
155.8,-1.14405128079606,-1.46883593965501,0,0
155.81,-1.13017052163894,-1.45478018969605,0,0
155.82,-1.11690728157308,-1.43998176338946,0,0
155.83,-1.10423882670141,-1.42424921788617,0,0
155.84,-1.09213053110845,-1.40738917560485,0,0
155.85,-1.08053683130892,-1.38920857094903,0,0
155.86,-1.06940234693984,-1.36951689212214,0,0
155.87,-1.05866315266553,-1.34812838989561,0,0
155.88,-1.04824818358637,-1.32486422546338,0,0
155.89,-1.03808075004745,-1.29955453629445,0,0
155.9,-1.02808013350286,-1.27204040081401,0,0
155.91,-1.01816323570632,-1.24217568462074,0,0
155.92,-1.00824625896281,-1.20982875357045,1,1
155.93,-0.998246395868062,-1.17488404125166,1,1
155.94,-0.988083503484998,-1.13724346296952,1,1
155.95,-0.977681734892651,-1.09682767075806,1,1
155.96,-0.9669711016058,-1.05357714495189,1,1
155.97,-0.955888945285982,-1.00745311540526,1,1
155.98,-0.944381299516939,-0.958438308446166,1,1
155.99,-0.932404119859216,-0.906537522297261,1,1
156,-0.919924360941677,-0.851778035769567,1,1
156.01,-0.906920884037633,-0.794209856019597,1,1
156.02,-0.893385183732666,-0.733905808057526,1,1
156.03,-0.879321926174316,-0.670961472381386,1,1
156.04,-0.86474929098256,-0.605494980132179,1,1
156.05,-0.849699107788265,-0.537646672682644,1,1
156.06,-0.834216781983068,-0.467578633174659,1,1
156.07,-0.818361011248048,-0.395474100361647,1,1
156.08,-0.802203298424405,-0.321536774069541,1,1
156.09,-0.785827266127047,-0.245990017901779,1,1
156.1,-0.76932778042884,-0.169075964376598,1,1
156.11,-0.752809895514489,-0.0910545259647992,1,1
156.12,-0.736387636603533,-0.0122023205800263,1,1
156.13,-0.720182640652099,0.0671884794540036,1,1
156.14,-0.704322671828175,0.146811376055672,1,1
156.15,-0.688940028343101,0.226346855199058,1,1
156.16,-0.674169859933369,0.305463777684243,1,1
156.17,-0.660148418958712,0.383820849530305,1,1
156.18,-0.647011273174766,0.461068174133494,1,1
156.19,-0.634891505798216,0.536848889517075,1,1
156.2,-0.623917924714845,0.610800891941446,1,1
156.21,-0.614213303052003,0.682558646075635,1,1
156.22,-0.605892677238809,0.751755086707389,1,1
156.23,-0.599061731863921,0.818023612312922,1,1
156.24,-0.593815295830697,0.881000168459489,1,1
156.25,-0.590235966372881,0.940325420918489,1,1
156.26,-0.588392873580418,0.995647011656674,1,1
156.27,-0.588340602762686,1.04662189197808,1,1
156.28,-0.590118295026048,1.09291873076428,1,1
156.29,-0.593748944274164,1.13422039111274,1,1
156.3,-0.599238900174017,1.17022646175265,1,1
156.31,-0.606577580170461,1.20065582650955,1,1
156.32,-0.615737393859654,1.22524925109544,1,1
156.33,-0.626673883126333,1.24377196383438,1,1
156.34,-0.639326079296455,1.25601620528148,1,1
156.35,-0.65361707456822,1.26180371966081,1,1
156.36,-0.669454798723149,1.26098816051665,1,1
156.37,-0.686732987881607,1.25345737852785,1,1
156.38,-0.705332331284757,1.23913555738567,1,1
156.39,-0.725121783621192,1.2179851622352,1,1
156.4,-0.745960027994906,1.19000866378399,1,1
156.41,-0.767697066595002,1.15525000371844,1,1
156.42,-0.790175915083867,1.11379576995606,1,1
156.43,-0.81323438008511,1.06577604393125,1,1
156.44,-0.836706898575841,1.01136488087588,1,1
156.45,-0.86042641542334,0.95078039628124,1,1
156.46,-0.884226270522822,0.884284434579718,1,1
156.47,-0.907942066459152,0.812181799259029,1,1
156.48,-0.93141349303493,0.734819025228293,1,1
156.49,-0.954486086470135,0.652582672937224,1,1
156.5,-0.977012900813172,0.56589713645146,1,1
156.51,-0.998856067540032,0.475221968641775,1,1
156.52,-1.01988822012171,0.381048731813624,1,1
156.53,-1.03999376574707,0.283897384840016,1,1
156.54,-1.05906998986479,0.18431222350325,1,1
156.55,-1.07702797951707,0.0828574059469943,1,1
156.56,-1.09379335125366,-0.0198879004660753,1,1
156.57,-1.10930677266846,-0.123334710421683,1,1
156.58,-1.12352427292926,-0.226889698253491,1,1
156.59,-1.13641734275988,-0.329960904545085,1,1
156.6,-1.14797282595632,-0.431963609917007,1,1
156.61,-1.15819260475921,-0.532326307705417,1,1
156.62,-1.16709308310883,-0.630496702640266,1,1
156.63,-1.17470447777116,-0.725947659215864,1,1
156.64,-1.18106993417484,-0.818183020740351,1,1
156.65,-1.1862444847674,-0.90674321498647,1,1
156.66,-1.19029386452386,-0.99121056675443,1,1
156.67,-1.19329319768989,-1.07121423992306,1,1
156.68,-1.19532557453136,-1.14643473209252,1,1
156.69,-1.1964805448623,-1.21660784740575,1,1
156.7,-1.19685255748293,-1.28152807389228,1,1
156.71,-1.19653936935657,-1.34105129980346,1,1
156.72,-1.19564044480235,-1.39509681371823,1,1
156.73,-1.19425536488672,-1.44364853924755,1,1
156.74,-1.19248227112285,-1.48675546611873,1,1
156.75,-1.19041637221424,-1.52453125472838,1,1
156.76,-1.18814854055502,-1.5571529978585,1,1
156.77,-1.18576401743595,-1.58485913277412,1,1
156.78,-1.18334124018168,-1.60794650994558,1,1
156.79,-1.1809508066388,-1.62676663336381,1,1
156.8,-1.17865459405991,-1.64172110347713,1,1
156.81,-1.17650504575164,-1.65325631328927,1,1
156.82,-1.17454463062703,-1.66185745204532,1,1
156.83,-1.17280547602789,-1.66804187997937,1,1
156.84,-1.17130917812372,-1.67235195782173,1,1
156.85,-1.17006679554418,-1.67534742726118,1,1
156.86,-1.16907902632851,-1.67759744101467,1,1
156.87,-1.16833655913419,-1.67967234767771,1,1
156.88,-1.1678205825404,-1.68213534082672,1,1
156.89,-1.16750343755512,-1.68553408692651,1,1
156.9,-1.16734940225044,-1.69039245485904,1,1
156.91,-1.16731559602271,-1.69720247030687,1,1
156.92,-1.16735298580619,-1.70641661773238,1,1
156.93,-1.16740747247407,-1.71844061102075,1,1
156.94,-1.16742103429169,-1.73362674807804,1,1
156.95,-1.16733290598861,-1.75226795843599,1,1
156.96,-1.16708077459593,-1.77459264782927,1,1
156.97,-1.1666019710036,-1.80076042961739,1,1
156.98,-1.16583463191843,-1.83085881893843,1,1
156.99,-1.1647188092931,-1.86490095562964,1,1
157,-1.16319751051652,-1.90282441431191,1,1
157.01,-1.16121765531682,-1.94449114610771,1,1
157.02,-1.15873093474762,-1.98968857144242,1,1
157.03,-1.15569455469613,-2.03813182164766,1,1
157.04,-1.15207184860141,-2.08946711636778,1,1
157.05,-1.14783275031532,-2.14327625175478,1,1
157.06,-1.1429541225449,-2.19908215401737,1,1
157.07,-1.13741993694468,-2.25635543218121,1,1
157.08,-1.13122130144513,-2.31452184776393,1,1
157.09,-1.1243563341694,-2.37297059923068,1,1
157.1,-1.11682989024783,-2.43106330952117,1,1
157.11,-1.10865315591665,-2.48814359995135,1,1
157.12,-1.09984312341146,-2.54354711677421,1,1
157.13,-1.09042195538608,-2.59661186687501,1,1
157.14,-1.0804162470951,-2.64668870946872,1,1
157.15,-1.06985620056379,-2.69315184398284,1,1
157.16,-1.05877473437446,-2.73540913733267,1,1
157.17,-1.04720655349668,-2.77291213093499,1,1
157.18,-1.03518719847346,-2.80516556741153,1,1
157.19,-1.02275209098974,-2.83173628381559,1,1
157.2,-1.00993559449328,-2.85226132579562,1,1
157.21,-0.996770113479818,-2.86645514837124,1,1
157.22,-0.9832852573783,-2.87411577594492,1,1
157.23,-0.969507087723096,-2.87512980346264,1,1
157.24,-0.95545746026307,-2.86947614222197,1,1
157.25,-0.941153473670335,-2.85722843552496,1,1
157.26,-0.926607040940258,-2.83855609054578,1,1
157.27,-0.911824601886843,-2.81372389234606,1,1
157.28,-0.896806988967252,-2.78309017834313,1,1
157.29,-0.881549449519678,-2.74710356996918,1,1
157.3,-0.86604182277597,-2.70629828983868,1,1
157.31,-0.850268871091706,-2.66128812227559,1,1
157.32,-0.834210765545923,-2.61275909026513,1,1
157.33,-0.817843721612571,-2.56146093529192,1,1
157.34,-0.801140774732277,-2.50819750541473,1,1
157.35,-0.784072682884646,-2.45381618052785,1,1
157.36,-0.766608942281832,-2.39919648503513,1,1
157.37,-0.748718901128171,-2.34523805197138,1,1
157.38,-0.730372951918154,-2.29284811388907,1,1
157.39,-0.711543777432642,-2.24292870268093,1,1
157.4,-0.692207624622725,-2.19636374352112,1,1
157.41,-0.672345584707755,-2.1540062315482,1,1
157.42,-0.651944860238396,-2.11666568597388,1,1
157.43,-0.630999996544462,-2.08509607844755,1,1
157.44,-0.609514049808044,-2.05998442812458,1,1
157.45,-0.587499660907671,-2.04194024441968,1,1
157.46,-0.564980009663335,-2.03148598399143,1,1
157.47,-0.541989631450191,-2.02904867425338,1,1
157.48,-0.518575079806062,-2.03495284369654,1,1
157.49,-0.494795415748334,-2.04941488428211,1,1
157.5,-0.470722502827468,-2.07253894473146,1,1
157.51,-0.446441092311502,-2.10431442688061,1,1
157.52,-0.422048691836479,-2.14461513432586,1,1
157.53,-0.397655215565302,-2.19320010430432,1,1
157.54,-0.373382414105768,-2.24971613122903,1,1
157.55,-0.349363081054275,-2.31370195750368,1,1
157.56,-0.325740036731271,-2.38459407657623,1,1
157.57,-0.302664898934914,-2.46173407063749,1,1
157.58,-0.280296656602267,-2.54437738872769,1,0
157.59,-0.258800064291489,-2.63170344512693,1,0
157.6,-0.238343875214285,-2.72282689074567,1,0
157.61,-0.219098931370319,-2.8168098896424,1,0
157.62,-0.201236134329246,-2.91267521898367,1,0
157.63,-0.184924325717715,-3.00941999944851,1,0
157.64,-0.170328109222736,-3.1060298487093,1,0
157.65,-0.157605644145186,-3.20149324165167,1,0
157.66,-0.146906439240378,-3.29481586219034,1,0
157.67,-0.138369180046617,-3.38503472799419,1,0
157.68,-0.132119626880212,-3.471231868287,1,0
157.69,-0.128268618508051,-3.55254733873867,1,0
157.7,-0.126910212058437,-3.62819136411337,1,0
157.71,-0.128119986447566,-3.69745541863448,1,0
157.72,-0.131953538351389,-3.75972207517726,1,0
157.73,-0.138445200378066,-3.81447347297999,1,0
157.74,-0.147607005010481,-3.86129826675326,1,0
157.75,-0.159427913026713,-3.89989694271246,1,0
157.76,-0.173873320565706,-3.9300854164803,1,0
157.77,-0.190884855329791,-3.95179685863686,1,0
157.78,-0.210380472462463,-3.96508172232362,1,0
