"","seconds","X1","X2","X3","X4","average","SE"
"98",-1.03,-6.8305463705542,3.07638386293848,-2.52658470887266,-5.68668616833296,-2.99185834620534,2.21806345351119
"99",-1.02,-6.94997956822732,3.01861853843842,-2.78483542313809,-5.89341100495257,-3.15240186446989,2.23888598463218
"100",-1.01,-7.07089805248795,2.9626404168168,-3.03713707900087,-6.10402069692819,-3.31235385290005,2.26147731261957
"101",-1,-7.19236091528709,2.90837792934589,-3.282350823697,-6.31674928308309,-3.47077077318032,2.28544064152043
"102",-0.99,-7.31343660239421,2.85564904791598,-3.51945579678699,-6.52980966336061,-3.62676325365646,2.31034670874068
"103",-0.98,-7.4332130939734,2.80416980597322,-3.74755056413375,-6.74141267795743,-3.77950163252284,2.33574176236449
"104",-0.97,-7.55080754940482,2.75356511325936,-3.96585305332295,-6.9497864102537,-3.92822047493053,2.36115566109678
"105",-0.96,-7.66537530651921,2.70338169760611,-4.17369909343534,-7.15319548638322,-4.07222204718292,2.38611000332221
"106",-0.95,-7.77611813915403,2.65310296151506,-4.37053967473282,-7.34996014963463,-4.2108787505016,2.41012621527047
"107",-0.94,-7.88229169094593,2.60216550855895,-4.55593705896153,-7.53847488789263,-4.34363453231029,2.4327335440231
"108",-0.93,-7.98321201382644,2.5499770590009,-4.72955988451739,-7.71722638641516,-4.47000530643952,2.45347690535225
"109",-0.92,-8.07826114853037,2.49593543747763,-4.89117741794759,-7.88481057540301,-4.58957842610083,2.47192453226257
"110",-0.91,-8.16689170296969,2.4394482877858,-5.04065310481074,-8.03994856118162,-4.70201127029406,2.48767536538317
"111",-0.9,-8.24863039635696,2.37995314698997,-5.17793757519278,-8.18150125017962,-4.80702901868485,2.50036611804056
"112",-0.89,-8.32308055701672,2.31693749569276,-5.30306125966933,-8.30848248251928,-4.90442170087814,2.50967793955543
"113",-0.88,-8.38992358241947,2.24995839584916,-5.41612676780127,-8.42007050751722,-4.9940406154722,2.51534259333928
"114",-0.87,-8.44891938322254,2.17866132436591,-5.5173011749688,-8.51561764853805,-5.07579422059087,2.51714805919238
"115",-0.86,-8.49990584144239,2.10279781637908,-5.60680835097913,-8.5946580234468,-5.14964359987231,2.5149434647678
"116",-0.85,-8.54279732052544,2.02224154828199,-5.68492145210357,-8.65691321032637,-5.21559760866835,2.50864325092099
"117",-0.84,-8.57758228478889,1.93700250986355,-5.75195569070268,-8.70229577047735,-5.27370780902634,2.4982304787635
"118",-0.83,-8.60432009612993,1.84723893284019,-5.80826148117991,-8.73091056688815,-5.32406330283945,2.48375918957965
